-50,-29,0
-89,35,0
-36,32,0
51,89,1
71,-58,0
-16,-67,1
-50,11,0
-58,52,0
9,-18,0
-89,16,0
-61,78,0
-66,-54,0
60,-37,0
-28,-34,0
-50,53,0
-33,91,0
-23,-86,0
26,27,0
-43,-43,0
-84,-6,0
-22,-14,0
-4,-98,0
-100,0,0
59,-18,0
30,12,0
16,-31,0
0,91,0
78,-30,0
-87,77,0
-2,79,0
15,70,0
44,74,1
-11,8,0
29,-99,0
-86,60,0
46,89,1
82,-51,0
3,-90,0
86,-68,0
-73,70,0
-47,-84,0
31,-71,0
11,-8,0
-49,-34,0
80,-10,0
49,-82,0
-11,60,0
52,53,1
95,26,1
73,84,1
90,-73,0
2,40,0
-81,-16,0
-68,-66,0
-66,-82,0
-53,83,0
-3,-60,0
1,-89,0
-84,-21,0
98,50,1
-76,91,0
-83,-69,0
48,-39,0
7,-59,0
-53,-48,0
-98,-19,0
51,-58,0
89,76,1
37,91,1
-11,10,0
64,-33,0
-84,-24,0
56,74,1
-1,-60,0
-72,30,0
-3,1,0
-73,-39,0
-73,-94,0
2,-24,0
82,80,1
-83,-70,0
-40,25,0
-3,-86,0
-98,-17,0
-53,92,0
81,36,1
-78,74,0
88,99,1
-16,-54,0
78,-41,0
-61,44,0
-87,-77,0
28,-99,0
-10,-58,0
-76,-40,0
-74,-15,0
65,97,1
-52,34,0
42,-96,0
35,-2,0
51,78,1
83,74,1
-17,77,0
-63,78,0
23,-13,0
21,18,0
67,-83,0
32,-46,0
-100,80,0
48,51,0
91,-89,0
73,-54,0
-9,21,0
-49,-14,0
-14,-76,0
24,-83,0
31,37,0
37,39,0
-4,-38,0
-34,78,0
65,-84,0
14,11,0
24,55,0
-8,-65,0
42,-2,0
2,-94,0
-88,75,0
95,-70,0
97,39,1
25,-88,0
70,31,1
46,97,1
11,-62,0
-13,77,0
-16,-62,0
13,-56,0
64,98,1
-82,100,0
20,9,0
-77,-68,0
-29,-11,0
27,38,0
-19,-45,0
58,-69,0
-83,-11,0
-64,9,0
-6,99,0
69,67,1
-23,6,0
-59,-59,1
-92,-36,0
-2,-74,0
89,26,1
61,83,1
91,-31,0
77,-94,0
53,30,0
-28,-48,0
-85,-60,0
-70,40,0
64,38,1
-31,59,0
-69,-17,0
-65,43,0
-31,56,0
82,55,1
73,42,1
-13,74,0
-92,75,0
25,49,0
-46,-30,0
-49,49,0
32,-22,0
-62,-87,0
-92,37,0
72,-53,0
39,-90,0
90,72,1
9,-35,0
-92,48,0
-62,6,0
-98,-36,0
-13,-31,0
76,13,0
31,-21,0
-33,-11,0
-96,-55,0
23,55,0
-15,-65,0
-44,52,0
86,12,0
94,-27,0
61,19,0
-30,49,0
-24,-21,0
-41,-71,0
-30,64,0
-19,87,0
-8,49,0
0,9,0
73,-19,0
-76,69,0
18,-87,0
-33,70,0
-7,29,0
32,-79,0
-43,48,0
-8,-76,0
-36,-22,0
-25,-49,0
-59,-67,0
100,-13,0
-25,79,0
93,49,1
-75,62,0
-31,1,1
-23,-95,0
48,81,1
7,-1,0
80,-29,0
22,-82,0
92,-6,0
86,8,0
53,88,1
-97,34,0
4,-8,0
-100,10,0
67,-98,0
-60,-23,0
-53,-84,0
-47,-4,0
16,-88,0
-27,99,0
42,-47,0
-10,-12,0
-1,-83,0
-72,-78,0
-94,-3,0
45,9,0
29,39,0
-56,80,0
100,-52,0
-64,47,0
55,75,1
60,-38,0
78,14,0
43,43,0
-21,-50,0
-32,-95,0
-97,27,0
97,-82,0
21,44,0
78,73,0
99,-6,0
-2,4,0
93,-3,0
38,-30,0
-91,-22,0
-5,-84,0
-8,53,0
17,-13,0
-53,37,0
4,-53,0
-2,-24,0
94,-3,0
90,3,0
-5,9,0
-88,16,0
75,-15,0
-63,-98,0
-37,82,0
60,-7,0
-97,38,0
-84,64,0
-51,-24,0
67,-16,0
-58,8,0
4,-44,0
-25,18,0
39,58,0
84,46,1
-19,50,0
60,20,0
-71,-66,0
-80,60,0
23,-41,0
95,-31,0
-16,-22,0
86,-96,0
-82,-31,0
33,-88,0
1,-49,0
-64,99,0
-34,12,0
61,-98,0
-65,100,0
0,51,0
-41,-17,0
54,-52,0
-82,96,0
76,95,1
-54,21,0
62,43,1
26,-49,0
-85,88,0
82,11,0
-40,71,0
-27,-70,0
56,-55,0
39,-98,0
32,19,0
63,52,1
-9,5,0
-3,9,0
53,-37,0
31,-97,0
-55,33,0
42,8,0
39,-39,0
94,26,1
54,-88,0
37,-50,0
18,-40,0
85,37,1
68,15,0
-30,60,0
-26,-52,0
-80,0,0
4,14,0
58,-69,0
91,69,1
-74,39,0
80,-75,0
-76,-5,0
-12,-5,0
-38,-85,0
-67,11,0
-44,97,0
43,58,1
80,-15,0
73,91,1
46,-82,0
-9,89,0
-50,32,0
-72,-35,0
2,-67,0
33,9,0
-26,-19,0
-10,18,0
-95,33,1
-42,-28,0
-49,-42,0
-15,-74,0
72,-72,0
-25,-14,0
5,53,0
93,83,1
-89,78,0
62,65,1
73,-14,0
84,37,1
-94,17,0
-12,-93,0
-44,-18,0
85,59,1
6,21,0
75,-64,0
93,-40,0
-36,-84,0
-36,-64,0
86,-14,0
-72,38,0
-79,15,0
-67,53,0
-49,8,0
39,-30,1
-50,-38,0
96,11,1
-63,-67,0
-37,-3,0
14,-65,0
40,-84,0
-52,12,0
58,-24,0
59,44,1
-89,-27,0
-6,-36,0
-9,-65,0
-52,78,0
-5,-81,0
79,-20,0
-82,-26,0
42,-63,0
-22,51,0
98,-84,0
-6,66,0
-62,-74,0
95,-16,0
-27,-21,0
-34,-89,0
99,78,1
-6,29,0
-45,32,0
-80,5,0
40,59,0
30,-53,0
33,77,1
-1,46,0
15,77,0
-2,16,0
-84,-15,0
-57,52,0
14,80,0
91,-6,0
41,59,0
-42,64,0
-53,83,1
60,-84,0
-74,30,0
83,-50,0
1,44,0
-15,-73,0
46,73,1
15,-42,0
-74,-80,0
-8,44,0
-11,-55,0
-100,32,0
-17,15,0
-70,52,0
-53,13,0
48,80,1
-9,11,0
54,-23,0
-81,-64,0
-15,98,0
86,92,1
-76,87,0
-79,-59,0
-8,46,0
-74,83,0
63,-2,0
